"Designator","Comment","Layer","Footprint","Mid X","Mid Y","Rotation","Description"
"J6","S6B-ZR(LF)(SN)","Bottom","FP-S6B-ZR_LF_SN-MFG","111.9378","102.0320","0","CONN HEADER R/A 6POS 1.5MM"
"C26","MAL214231101E3","Top","MAL214231101E3-Footprint-1","73.6574","68.4022","180","Aluminum Electrolytic Capacitor, Polarized, Aluminum (wet), 50V, 20% +Tol, 20% -Tol, 100uF, Through Hole Mount"
"R26","352239KJT","Top","RESC6332X120N","77.9700","73.2282","0","3522 39K 5% 3W"
"R28","352239KJT","Top","RESC6332X120N","85.7424","73.2536","180","3522 39K 5% 3W"
"R30","352239KJT","Top","RESC6332X120N","93.4132","73.2790","0","3522 39K 5% 3W"
"C19","MAL214231101E3","Bottom","MAL214231101E3-Footprint-1","103.6854","67.9704","180","Aluminum Electrolytic Capacitor, Polarized, Aluminum (wet), 50V, 20% +Tol, 20% -Tol, 100uF, Through Hole Mount"
"U7","TCAN330GDR","Top","IC-BUCK-8SOIC","83.7184","100.5078","90",""
"U6","LM3671MF-3.3/NOPB","Top","FP-DBV0005A-IPC_C","72.6186","77.2922","90","IC REG BUCK 3.3V 600MA SOT23-5"
"U5","AD8418AWBRZ-RL","Top","IC-SOIC8","117.1956","73.2790","90",""
"U4","AD8418AWBRZ-RL","Top","IC-SOIC8","117.2972","84.4296","90",""
"U3","AD8418AWBRZ-RL","Top","IC-SOIC8","117.2972","95.4532","90",""
"U2","DRV8301DCAR","Bottom","IC-HTSSOP-56-THERM","86.6994","86.8762","0",""
"U1","STM32G473VET6","Top","MCU-LQFP100","84.5820","86.6902","0",""
"R34","CRCW06034R70JNEAHP","Bottom","RES-0603","96.5708","80.3656","180","Fixed Resistor, Metal Glaze/thick Film, 0.33W, 4.7ohm, 75V, 5% +/-Tol, 200ppm/Cel, Surface Mount, 0603"
"R33","CRCW06034R70JNEAHP","Bottom","RES-0603","101.1428","88.4682","180","Fixed Resistor, Metal Glaze/thick Film, 0.33W, 4.7ohm, 75V, 5% +/-Tol, 200ppm/Cel, Surface Mount, 0603"
"R32","CRCW06034R70JNEAHP","Bottom","RES-0603","96.3422","91.7956","180","Fixed Resistor, Metal Glaze/thick Film, 0.33W, 4.7ohm, 75V, 5% +/-Tol, 200ppm/Cel, Surface Mount, 0603"
"R31","ERA-2AEB332X","Top","FP-ERA2A-MFG","95.5722","70.7898","0",""
"R29","ERA-2AEB332X","Top","FP-ERA2A-MFG","83.4056","70.7136","180",""
"R27","ERA-2AEB332X","Top","FP-ERA2A-MFG","80.1290","70.6882","0",""
"R25","ERA-2AEB332X","Top","FP-ERA2A-MFG","91.9480","78.4098","90",""
"R24","352239KJT","Bottom","RESC6332X120N","87.8840","73.6854","180","3522 39K 5% 3W"
"R23","CRCW06034R70JNEAHP","Top","RES-0603","111.4806","97.6376","180","Fixed Resistor, Metal Glaze/thick Film, 0.33W, 4.7ohm, 75V, 5% +/-Tol, 200ppm/Cel, Surface Mount, 0603"
"R22","CSNL2512FTL500","Top","FP-CSNL2512FTL500-MFG","112.1410","92.9132","270","RES 500 UOHM 1% 2W 2512"
"R21","RC0402FR-07100RL","Top","RESC1005X40X25ML05T10","119.8118","99.4664","180",""
"R20","CRCW06034R70JNEAHP","Top","RES-0603","110.8202","88.2904","180","Fixed Resistor, Metal Glaze/thick Film, 0.33W, 4.7ohm, 75V, 5% +/-Tol, 200ppm/Cel, Surface Mount, 0603"
"R19","CSNL2512FTL500","Top","FP-CSNL2512FTL500-MFG","112.1918","84.0994","270","RES 500 UOHM 1% 2W 2512"
"R18","RC0402FR-07100RL","Top","RESC1005X40X25ML05T10","119.8372","88.4936","180",""
"R17","CRCW06034R70JNEAHP","Top","RES-0603","111.8108","79.8322","180","Fixed Resistor, Metal Glaze/thick Film, 0.33W, 4.7ohm, 75V, 5% +/-Tol, 200ppm/Cel, Surface Mount, 0603"
"R16","CSNL2512FTL500","Top","FP-CSNL2512FTL500-MFG","111.9886","73.5584","270","RES 500 UOHM 1% 2W 2512"
"R15","RC0402FR-07100RL","Top","RESC1005X40X25ML05T10","119.6848","77.5716","180",""
"R14","ERJ-2GEJ103X","Bottom","RESC1005X40X25ML05T05","79.9846","81.8642","0",""
"R13","ERJ-2GEJ472X","Top","RESC1005X40X25LL05T05","73.8632","86.1822","180",""
"R12","RMCF0603FT18K0","Bottom","CAP-0603","78.0542","80.2386","0","Fixed Resistor, Metal Glaze/thick Film, 0.1W, 18000ohm, 75V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603"
"R11","RMCF0603FT3K30","Bottom","CAP-0603","83.3374","78.1812","270","Fixed Resistor, Metal Glaze/thick Film, 0.1W, 3300ohm, 75V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603"
"R10","ERJ-2RKF1502X","Bottom","FP-ERJ2R-MFG","81.2292","78.2828","270","RES SMD 15K OHM 1% 1/10W 0402"
"R9","WR06X2203FTL","Bottom","CAP-0603","78.0288","78.3336","0","Fixed Resistor, Metal Glaze/thick Film, 0.1W, 220000ohm, 75V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603"
"R8","ERJ-2GEJ102X","Top","RESC1005X40X25NL05T05","81.8642","103.8860","180",""
"R5","ERJ-6GEY0R00V","Top","RESC2013X70X40NL20T20","86.5124","104.1146","180","Chip Resistor, 0 Ohm, +/- 1%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel"
"R4","ERJ-6GEY0R00V","Top","RESC2013X70X40NL20T20","89.7128","97.2058","90","Chip Resistor, 0 Ohm, +/- 1%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel"
"Q_LC","IRF7749L1TRPBF","Bottom","IC-MOSFET-DirectFET","104.0221","93.2651","0","Power Field-Effect Transistor, 375A I(D), 1-Element, N-Channel, Metal-oxide Semiconductor FET"
"Q_LB","IRF7749L1TRPBF","Bottom","IC-MOSFET-DirectFET","103.9754","83.9216","0","Power Field-Effect Transistor, 375A I(D), 1-Element, N-Channel, Metal-oxide Semiconductor FET"
"Q_LA","IRF7749L1TRPBF","Bottom","IC-MOSFET-DirectFET","103.9146","75.9968","0","Power Field-Effect Transistor, 375A I(D), 1-Element, N-Channel, Metal-oxide Semiconductor FET"
"Q_HC","IRF7749L1TRPBF","Top","IC-MOSFET-DirectFET","104.0262","93.2688","0","Power Field-Effect Transistor, 375A I(D), 1-Element, N-Channel, Metal-oxide Semiconductor FET"
"Q_HB","IRF7749L1TRPBF","Top","IC-MOSFET-DirectFET","103.9754","83.9216","0","Power Field-Effect Transistor, 375A I(D), 1-Element, N-Channel, Metal-oxide Semiconductor FET"
"Q_HA","IRF7749L1TRPBF","Top","IC-MOSFET-DirectFET","103.9140","76.0066","0","Power Field-Effect Transistor, 375A I(D), 1-Element, N-Channel, Metal-oxide Semiconductor FET"
"L3","LQH32MN220J23L","Bottom","FP-LQH32CH_23-MFG","95.2829","74.2305","0","Wire Wound Ferrite Inductor for General Circuits 22µH ±5% 2.8O 150mA 1210"
"L2","LQM21PN1R0MGHL","Top","FP-LQM21PH_G0-MFG","72.6440","79.9084","0","Multilayer Type Inductor for Power Lines, 0805 (2012), 1µH, 20%, 0.1O, 2A"
"J24","5001","Top","FP-5001-MFG","71.2216","91.6686","0","PC TEST POINT MINIATURE BLACK"
"J23","5001","Top","FP-5001-MFG","70.8152","87.8840","0","PC TEST POINT MINIATURE BLACK"
"J22","5001","Top","FP-5001-MFG","73.7616","88.3412","0","PC TEST POINT MINIATURE BLACK"
"J21","5001","Top","FP-5001-MFG","70.2564","94.3102","0","PC TEST POINT MINIATURE BLACK"
"J20","5001","Top","FP-5001-MFG","69.0626","70.2310","0","PC TEST POINT MINIATURE BLACK"
"J19","5001","Top","FP-5001-MFG","70.6120","84.9884","0","PC TEST POINT MINIATURE BLACK"
"J7","691214110002","Top","691214110002","98.7552","103.2081","180",""
"J5","S6B-ZR(LF)(SN)","Top","FP-S6B-ZR_LF_SN-MFG","66.5986","77.7240","270","CONN HEADER R/A 6POS 1.5MM"
"J4","43650-0328","Top","FP-43650-0328-MFG","73.3270","102.4488","0","Rectangular Power Connector, 3 Contact(s), Female, Solder Terminal"
"J2","S6B-ZR(LF)(SN)","Bottom","FP-S6B-ZR_LF_SN-MFG","66.5226","94.0936","90","CONN HEADER R/A 6POS 1.5MM"
"D1","BZT52C16V","Bottom","SODFL370X125-2N","92.7354","80.9244","270","BZT52C16V"
"C37","GRM31CC72A475ME11L","Top","FP-GRM31C-0_3-e0_3_0_9-MFG","99.5426","70.0532","270","Chip Multilayer Ceramic Capacitors for General Purpose, 1206, 4.7uF, X7S, 22%, 20%, 100V"
"C36","GRM31CC72A475ME11L","Top","FP-GRM31C-0_3-e0_3_0_9-MFG","95.5294","78.1050","180","Chip Multilayer Ceramic Capacitors for General Purpose, 1206, 4.7uF, X7S, 22%, 20%, 100V"
"C35","GRM31CC72A475ME11L","Top","FP-GRM31C-0_3-e0_3_0_9-MFG","97.3582","84.0994","270","Chip Multilayer Ceramic Capacitors for General Purpose, 1206, 4.7uF, X7S, 22%, 20%, 100V"
"C34","GRM31CC72A475ME11L","Top","FP-GRM31C-0_3-e0_3_0_9-MFG","97.7392","88.4428","180","Chip Multilayer Ceramic Capacitors for General Purpose, 1206, 4.7uF, X7S, 22%, 20%, 100V"
"C33","GRM31CC72A475ME11L","Top","FP-GRM31C-0_3-e0_3_0_9-MFG","95.2246","97.8916","180","Chip Multilayer Ceramic Capacitors for General Purpose, 1206, 4.7uF, X7S, 22%, 20%, 100V"
